"antennaType","frequency","frequencyLower","frequencyUpper","EDT","MSIfilename","technology"
"0-default-omni",947,880,960,0,"0-default-omni-741790_947_X_CO","GSM 900"
"0-default-omni",1862.5,1710,1880,0,"0-default-omni-738454_1862_X_CO","GSM 1800"
"0-default-omni",2140,1920,2170,0,"0-default-omni-741790_2140_X_CO","UMTS 2100"
"0-default-omni",810,791,862,0,"0-default-omni-741790_810_X_CO","LTE 800"
"0-default-omni",1855,1710,1880,0,"0-default-omni-741790_1855_X_CO","LTE 1800"
80010122,947,806,960,0,"80010122_0947_x_co_m45_00t","GSM 900"
80010122,947,806,960,1,"80010122_0947_x_co_m45_01t","GSM 900"
80010122,947,806,960,2,"80010122_0947_x_co_m45_02t","GSM 900"
80010122,947,806,960,3,"80010122_0947_x_co_m45_03t","GSM 900"
80010122,947,806,960,4,"80010122_0947_x_co_m45_04t","GSM 900"
80010122,947,806,960,5,"80010122_0947_x_co_m45_05t","GSM 900"
80010122,947,806,960,6,"80010122_0947_x_co_m45_06t","GSM 900"
80010122,947,806,960,7,"80010122_0947_x_co_m45_07t","GSM 900"
80010122,947,806,960,8,"80010122_0947_x_co_m45_08t","GSM 900"
80010122,947,806,960,9,"80010122_0947_x_co_m45_09t","GSM 900"
80010122,947,806,960,10,"80010122_0947_x_co_m45_10t","GSM 900"
80010122,1855,1710,2180,0,"80010122_1855_x_co_m45_00t","GSM 1800"
80010122,1855,1710,2180,1,"80010122_1855_x_co_m45_01t","GSM 1800"
80010122,1855,1710,2180,2,"80010122_1855_x_co_m45_02t","GSM 1800"
80010122,1855,1710,2180,3,"80010122_1855_x_co_m45_03t","GSM 1800"
80010122,1855,1710,2180,4,"80010122_1855_x_co_m45_04t","GSM 1800"
80010122,1855,1710,2180,5,"80010122_1855_x_co_m45_05t","GSM 1800"
80010122,1855,1710,2180,6,"80010122_1855_x_co_m45_06t","GSM 1800"
80010122,2140,1710,2180,0,"80010122_2140_x_co_m45_00t","UMTS 2100"
80010122,2140,1710,2180,1,"80010122_2140_x_co_m45_01t","UMTS 2100"
80010122,2140,1710,2180,2,"80010122_2140_x_co_m45_02t","UMTS 2100"
80010122,2140,1710,2180,3,"80010122_2140_x_co_m45_03t","UMTS 2100"
80010122,2140,1710,2180,4,"80010122_2140_x_co_m45_04t","UMTS 2100"
80010122,2140,1710,2180,5,"80010122_2140_x_co_m45_05t","UMTS 2100"
80010122,2140,1710,2180,6,"80010122_2140_x_co_m45_06t","UMTS 2100"
80010122,1855,1710,2180,0,"80010122_1855_x_co_m45_00t","LTE 1800"
80010122,1855,1710,2180,1,"80010122_1855_x_co_m45_01t","LTE 1800"
80010122,1855,1710,2180,2,"80010122_1855_x_co_m45_02t","LTE 1800"
80010122,1855,1710,2180,3,"80010122_1855_x_co_m45_03t","LTE 1800"
80010122,1855,1710,2180,4,"80010122_1855_x_co_m45_04t","LTE 1800"
80010122,1855,1710,2180,5,"80010122_1855_x_co_m45_05t","LTE 1800"
80010122,1855,1710,2180,6,"80010122_1855_x_co_m45_06t","LTE 1800"
"K729931",947.5,860,960,0,"729931_0947_X_CO_C-0-180","GSM 900"
"K730376",947.5,870,960,0,"730376_0948_X_CO","GSM 900"
"K736347",947.5,870,960,0,"736347_0948_X_CO","GSM 900"
"K736349",947.5,870,960,5,"736349_0948_X_CO","GSM 900"
"K728684",947.5,870,960,0,"728684_0948_X_CO","GSM 900"
"K728685",947.5,870,960,0,"728685_0948_X_CO","GSM 900"
"K730362",947.5,870,960,0,"730362_0948_X_CO","GSM 900"
"K730368",947.5,870,960,0,"730368_0948_X_CO","GSM 900"
"K730691",947.5,806,960,0,"730691_0948_X_CO","GSM 900"
"K735727",947.5,870,960,0,"735727_0948_X_CO","GSM 900"
"K738445",947.5,806,960,0,"738445_0948_X_CO","GSM 900"
"K738445",1862.5,1710,2170,0,"738445_1862_X_CO","GSM 1800"
"K738445",2170,1710,2170,0,"738445_2170_X_CO","UMTS 2100"
"K738445",2170,1710,2170,0,"738445_1862_X_CO","LTE 1800"
"K738446",947.5,806,960,0,"738446_0947_X_CO","GSM 900"
"K738446",1862.5,1710,2170,0,"738446_1862_X_CO","GSM 1800"
"K738446",2170,1710,2170,0,"738446_2170_X_CO","UMTS 2100"
"K738446",2170,1710,2170,0,"738446_1862_X_CO","LTE 1800"
"K738454",1862.5,1710,2170,0,"738454_1862_X_CO","GSM 1800"
"K738454",2140,1710,2170,0,"738454_2140_X_CO","UMTS 2100"
"K738454",2140,1710,2170,0,"738454_1862_X_CO","LTE 1800"
