Number of processors:	8
Transmitters per processor:	128
Processes per node:	4
TIME:1350600959.87634301:	Read input data	10.71961700 sec
Spawning 8 workers to process 1024 transmitters ...
TIME:1350600961.29586792:	Dynamic process spawning	1.41950200 sec
TIME:1350600998.94341397:	Common data distribution	37.64719100 sec
TIME:1350600998.94349504:	Transmitter data send (0)	0.00000600 sec
TIME:1350600998.94383597:	Transmitter data send (3)	0.00000400 sec
TIME:1350600998.94384909:	Transmitter data send (1)	0.00000300 sec
TIME:1350600998.94386101:	Transmitter data send (2)	0.00000400 sec
TIME:1350600998.94387388:	Transmitter data send (4)	0.00000400 sec
TIME:1350600998.94388604:	Transmitter data send (5)	0.00000400 sec
TIME:1350600998.94389892:	Transmitter data send (6)	0.00000400 sec
TIME:1350600998.94391108:	Transmitter data send (7)	0.00000400 sec
TIME:1350601008.21566701:	Calculation and result dump (4)	9.27178900 sec
TIME:1350601008.21568298:	Transmitter data send (4)	0.00000600 sec
TIME:1350601009.05846500:	Calculation and result dump (0)	10.11496500 sec
TIME:1350601009.05847907:	Transmitter data send (0)	0.00000500 sec
TIME:1350601009.09803009:	Calculation and result dump (2)	10.15416500 sec
TIME:1350601009.09804296:	Transmitter data send (2)	0.00000500 sec
TIME:1350601009.10105205:	Calculation and result dump (1)	10.15719900 sec
TIME:1350601009.10106492:	Transmitter data send (1)	0.00000400 sec
TIME:1350601009.10185194:	Calculation and result dump (3)	10.15801000 sec
TIME:1350601009.10186601:	Transmitter data send (3)	0.00000500 sec
TIME:1350601009.35985899:	Calculation and result dump (7)	10.41594400 sec
TIME:1350601009.35987306:	Transmitter data send (7)	0.00000500 sec
TIME:1350601009.88356590:	Calculation and result dump (5)	10.93967600 sec
TIME:1350601009.88357997:	Transmitter data send (5)	0.00000500 sec
TIME:1350601009.94712591:	Calculation and result dump (6)	11.00322300 sec
TIME:1350601009.94713998:	Transmitter data send (6)	0.00000500 sec
TIME:1350601016.36791396:	Calculation and result dump (4)	8.15222700 sec
TIME:1350601016.36792803:	Transmitter data send (4)	0.00000500 sec
TIME:1350601017.30984902:	Calculation and result dump (0)	8.25136600 sec
TIME:1350601017.30986404:	Transmitter data send (0)	0.00000600 sec
TIME:1350601017.32132697:	Calculation and result dump (2)	8.22327900 sec
TIME:1350601017.32134008:	Transmitter data send (2)	0.00000400 sec
TIME:1350601017.32669306:	Calculation and result dump (3)	8.22482300 sec
TIME:1350601017.32670593:	Transmitter data send (3)	0.00000400 sec
TIME:1350601017.33345103:	Calculation and result dump (1)	8.23238200 sec
TIME:1350601017.33346391:	Transmitter data send (1)	0.00000400 sec
TIME:1350601017.58021688:	Calculation and result dump (7)	8.22034000 sec
TIME:1350601017.58023000:	Transmitter data send (7)	0.00000400 sec
TIME:1350601017.73457909:	Calculation and result dump (5)	7.85099500 sec
TIME:1350601017.73459101:	Transmitter data send (5)	0.00000300 sec
TIME:1350601018.19944692:	Calculation and result dump (6)	8.25230300 sec
TIME:1350601018.19946003:	Transmitter data send (6)	0.00000400 sec
TIME:1350601024.53940606:	Calculation and result dump (4)	8.17147400 sec
TIME:1350601024.53942299:	Transmitter data send (4)	0.00000600 sec
TIME:1350601025.54759192:	Calculation and result dump (2)	8.22624800 sec
TIME:1350601025.54760599:	Transmitter data send (2)	0.00000500 sec
TIME:1350601025.56669497:	Calculation and result dump (1)	8.23322700 sec
TIME:1350601025.56670904:	Transmitter data send (1)	0.00000500 sec
TIME:1350601025.56768799:	Calculation and result dump (3)	8.24097800 sec
TIME:1350601025.56770110:	Transmitter data send (3)	0.00000400 sec
TIME:1350601025.58522010:	Calculation and result dump (0)	8.27535200 sec
TIME:1350601025.58523202:	Transmitter data send (0)	0.00000400 sec
