Number of processors:	2
Transmitters per processor:	10
Processes per node:	2
TIME:1350526043.96959305:	Read input data	8.74765500 sec
Spawning 2 workers to process 20 transmitters ...
TIME:1350526045.38011289:	Dynamic process spawning	1.41049000 sec
TIME:1350526064.11205006:	Common data distribution	18.73159700 sec
TIME:1350526064.11211491:	Transmitter data send (0)	0.00000500 sec
TIME:1350526064.11226702:	Transmitter data send (1)	0.00000400 sec
TIME:1350526072.11057210:	Calculation and result dump (0)	7.99845100 sec
TIME:1350526072.11058688:	Transmitter data send (0)	0.00000400 sec
TIME:1350526073.50832701:	Calculation and result dump (1)	9.39605400 sec
TIME:1350526073.50834107:	Transmitter data send (1)	0.00000500 sec
TIME:1350526079.17608404:	Calculation and result dump (0)	7.06549200 sec
TIME:1350526079.17609906:	Transmitter data send (0)	0.00000500 sec
TIME:1350526080.60655308:	Calculation and result dump (1)	7.09820700 sec
TIME:1350526080.60656810:	Transmitter data send (1)	0.00000500 sec
TIME:1350526086.22556400:	Calculation and result dump (0)	7.04946000 sec
TIME:1350526086.22557807:	Transmitter data send (0)	0.00000400 sec
TIME:1350526087.68996000:	Calculation and result dump (1)	7.08338800 sec
TIME:1350526087.68997407:	Transmitter data send (1)	0.00000500 sec
TIME:1350526093.27032900:	Calculation and result dump (0)	7.04474600 sec
TIME:1350526093.27034307:	Transmitter data send (0)	0.00000400 sec
TIME:1350526094.76373100:	Calculation and result dump (1)	7.07375300 sec
TIME:1350526094.76374412:	Transmitter data send (1)	0.00000400 sec
TIME:1350526100.31387496:	Calculation and result dump (0)	7.04352700 sec
TIME:1350526100.31388903:	Transmitter data send (0)	0.00000400 sec
TIME:1350526101.83573699:	Calculation and result dump (1)	7.07198800 sec
TIME:1350526101.83575106:	Transmitter data send (1)	0.00000500 sec
TIME:1350526107.04432797:	Calculation and result dump (0)	6.73043500 sec
TIME:1350526107.04434299:	Transmitter data send (0)	0.00000400 sec
TIME:1350526108.91120195:	Calculation and result dump (1)	7.07544600 sec
TIME:1350526108.91121602:	Transmitter data send (1)	0.00000400 sec
TIME:1350526114.10987210:	Calculation and result dump (0)	7.06552500 sec
TIME:1350526114.10988593:	Transmitter data send (0)	0.00000500 sec
TIME:1350526116.01070404:	Calculation and result dump (1)	7.09948400 sec
TIME:1350526116.01071811:	Transmitter data send (1)	0.00000500 sec
TIME:1350526121.16405797:	Calculation and result dump (0)	7.05416800 sec
TIME:1350526121.16407204:	Transmitter data send (0)	0.00000400 sec
TIME:1350526123.09436703:	Calculation and result dump (1)	7.08364400 sec
TIME:1350526123.09438109:	Transmitter data send (1)	0.00000400 sec
TIME:1350526128.21065092:	Calculation and result dump (0)	7.04657500 sec
TIME:1350526128.21066594:	Transmitter data send (0)	0.00000500 sec
TIME:1350526130.16850209:	Calculation and result dump (1)	7.07411600 sec
TIME:1350526130.16851592:	Transmitter data send (1)	0.00000500 sec
TIME:1350526135.25502706:	Calculation and result dump (0)	7.04435700 sec
TIME:1350526137.20776606:	Calculation and result dump (1)	7.03924600 sec
Process took 102 sec
