ACRGMA | 463805 | 107467
ADELO  | 462020 | 101868
ADOLGI | 458765 |  99072
AFORD  | 463830 | 102507
AFUZIN | 466238 | 101280
AGEOPL | 460513 | 104249
AGPG   | 461832 | 100311
AGZ    | 462819 | 103103
AIJS   | 460697 |  99918
AJELSA | 461558 |  98120
AJEZKZ | 462672 | 105540
AJOZEF | 462820 | 100667
AKOSEG | 460093 | 103041
AKOSEZ | 459169 | 103309
ALIVAD | 462214 |  99233
AMHOTE | 460823 | 102847
AMOBI  | 462801 | 101895
AMOSTE | 464277 | 101391
AMURGL | 461473 |  99420
ANADGO | 466119 | 106267
ANAMA  | 461918 | 100995
APETER | 463026 | 100976
APOLCE | 468151 | 101205
ARESEV | 463751 | 101252
AROZNA | 460340 | 100532
ASKZ   | 459501 | 105976
ASMARG | 465964 | 103735
ASMELT | 462814 | 104413
ASTEP  | 464935 | 100554
ATEGR  | 461860 | 103148
ATOPNI | 462439 | 102821
ATOTRA | 466266 | 100737
ATRUB  | 462207 | 100976
ATUNEL | 462378 | 100177
ATVSLO | 462405 | 101221
AVEGAS | 463365 |  98386
AVEROV | 461556 | 103926
AVEVCE | 468788 | 100644
AVIC   | 461300 | 100457
AVIZMA | 458538 | 106770
AVRHOV | 459301 |  99898
AZADOB | 468171 | 103413
AZALOG | 469925 | 101560
AZITO  | 465500 | 102765
AZITOT | 459723 |  99804
